1,1996 World Champion,=PROMO,Christopher Rush,WUBRG,Special,Celebration Cards
,Abbey Gargoyles,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184585,Christopher Rush,White,U,Fifth Edition
,Abbey Gargoyles,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184585,Christopher Rush,White,U,Homelands
1,Abbey Gargoyles,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184585,Christopher Rush,White,U,Masters Edition II
,Abomination,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2084,Mark Tedin,Black,U,Fourth Edition
,Abomination,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2084,Mark Tedin,Black,U,Legends
1,Absolver Thrull,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=96953,Rob Alexander,White,C,Guildpact
,Abu Ja'far,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2838,Ken Meyer Jr.,White,U,Chronicles
,Abu Ja'far,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=2838,Ken Meyer Jr.,White,U,Arabian Nights
,Abyssal Gatekeeper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394003,Mark Tedin,Black,C,Weatherlight
31,Abyssal Gatekeeper,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=394003,Mark Tedin,Black,C,Duel Decks: Divine vs. Demonic
63,Abyssal Horror,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=21019,rk post,Black,R,Starter 1999
115,Abyssal Horror,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=21019,rk post,Black,R,Urza's Saga
1,Abzan Battle Priest,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=386466,Chris Rahn,White,U,Khans of Tarkir
83,Acolyte of Xathrid,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=190579,Chris Rahn,Black,C,Magic 2010
230,Acridian,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=5865,rk post,Green,C,Urza's Saga
,Active Volcano,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=1556,Brian Snoddy,Red,C,Legends
30,Aerial Formation,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380365,Zack Stella,Blue,C,Journey into Nyx
168,Aerial Volley,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=398565,Lake Hurwitz,Green,C,Magic Origins
5,AEther Figment,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380263,Thomas M. Baxa,Blue,U,Duel Decks: Jace vs. Vraska
40,AEther Figment,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=380263,Thomas M. Baxa,Blue,U,Zendikar
76,AEther Sting,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=12612,Pete Venters,Red,U,Urza's Destiny
,AEther Storm,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184722,Mark Tedin,Blue,U,Fifth Edition
,AEther Storm,http://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=184722,Mark Tedin,Blue,U,Homelands
